! 11B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.056131  	0.001000	0.056131  	0.001000	0.0512544 	0.001000	0.0512544 	0.001000	0.0512626 	0.001000	0         	0.001000	0         	0.001000	0.000720401	0.001000	0.00116365	0.001000	0.000538377	
0.002000	0.114285  	0.002000	0.112262  	0.002000	0.102509  	0.002000	0.102509  	0.002000	0.102525  	0.002000	0.00705598	0.002000	0.00705598	0.002000	0.00210966	0.002000	0.00329202	0.002000	0.00164097	
0.005000	0.26568   	0.005000	0.25839   	0.005000	0.236044  	0.005000	0.236044  	0.005000	0.236071  	0.005000	0.00841247	0.005000	0.00841247	0.005000	0.00762413	0.005000	0.0114724 	0.005000	0.00615189	
0.008000	0.396998  	0.008000	0.385141  	0.008000	0.352453  	0.008000	0.352453  	0.008000	0.352485  	0.008000	0.00847376	0.008000	0.00847376	0.008000	0.0141545 	0.008000	0.020922  	0.008000	0.0116076 	
0.010000	0.477226  	0.010000	0.462578  	0.010000	0.423887  	0.010000	0.423887  	0.010000	0.423921  	0.010000	0.00869198	0.010000	0.00869198	0.010000	0.01882   	0.010000	0.0275912 	0.010000	0.0155428 	
0.015000	0.659473  	0.015000	0.638485  	0.015000	0.587191  	0.015000	0.587191  	0.015000	0.587227  	0.015000	0.00982443	0.015000	0.00982443	0.015000	0.0311184 	0.015000	0.0449762 	0.015000	0.0260037 	
0.020000	0.810965  	0.020000	0.784707  	0.020000	0.727525  	0.020000	0.727525  	0.020000	0.727564  	0.020000	0.0111359 	0.020000	0.0111359 	0.020000	0.0432483 	0.020000	0.0619923 	0.020000	0.0363785 	
0.025000	0.93747   	0.025000	0.906812  	0.025000	0.848513  	0.025000	0.848513  	0.025000	0.848552  	0.025000	0.0122741 	0.025000	0.0122741 	0.025000	0.0547312 	0.025000	0.078038  	0.025000	0.0462274 	
0.030000	1.04684   	0.030000	1.01238   	0.030000	0.955736  	0.030000	0.955736  	0.030000	0.955776  	0.030000	0.0132335 	0.030000	0.0132335 	0.030000	0.0656571 	0.030000	0.0932527 	0.030000	0.0556217 	
0.035000	1.14398   	0.035000	1.10614   	0.035000	1.05312   	0.035000	1.05312   	0.035000	1.05316   	0.035000	0.0140572 	0.035000	0.0140572 	0.035000	0.0761667 	0.035000	0.107839  	0.035000	0.0646792 	
0.040000	1.23264   	0.040000	1.19171   	0.040000	1.14283   	0.040000	1.14283   	0.040000	1.14287   	0.040000	0.0147722 	0.040000	0.0147722 	0.040000	0.0863227 	0.040000	0.121894  	0.040000	0.0734497 	
0.045000	1.31494   	0.045000	1.27115   	0.045000	1.22646   	0.045000	1.22646   	0.045000	1.2265    	0.045000	0.0154022 	0.045000	0.0154022 	0.045000	0.0961884 	0.045000	0.135511  	0.045000	0.081985  	
0.050000	1.39231   	0.050000	1.34583   	0.050000	1.30518   	0.050000	1.30518   	0.050000	1.30522   	0.050000	0.0159656 	0.050000	0.0158056 	0.050000	0.105819  	0.050000	0.14877   	0.050000	0.0903309 	
0.055000	1.46577   	0.055000	1.41674   	0.055000	1.37991   	0.055000	1.37991   	0.055000	1.37995   	0.055000	0.0164767 	0.055000	0.0160834 	0.055000	0.11425   	0.055000	0.160349  	0.055000	0.0976501 	
0.060000	1.53614   	0.060000	1.48466   	0.060000	1.45134   	0.060000	1.45134   	0.060000	1.45138   	0.060000	0.0169464 	0.060000	0.0163395 	0.060000	0.121351  	0.060000	0.170075  	0.060000	0.103825  	
0.070000	1.66992   	0.070000	1.61378   	0.070000	1.58643   	0.070000	1.58643   	0.070000	1.58647   	0.070000	0.0177933 	0.070000	0.0168046 	0.070000	0.133208  	0.070000	0.18592   	0.070000	0.11416   	
0.080000	1.79717   	0.080000	1.73661   	0.080000	1.71377   	0.080000	1.71377   	0.080000	1.71381   	0.080000	0.0185537 	0.080000	0.0172272 	0.080000	0.142822  	0.080000	0.198584  	0.080000	0.122568  	
0.090000	1.92017   	0.090000	1.85532   	0.090000	1.83558   	0.090000	1.83558   	0.090000	1.83562   	0.090000	0.0192577 	0.090000	0.0176234 	0.090000	0.151098  	0.090000	0.209329  	0.090000	0.12983   	
