! 7Be range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0521966 	0.001000	0.0521966 	0.001000	0.0422237 	0.001000	0.0422237 	0.001000	0.0422363 	0.001000	0         	0.001000	0         	0.001000	0.000534833	0.001000	0.000870234	0.001000	0.000393911	
0.002000	0.106138  	0.002000	0.104393  	0.002000	0.0844474 	0.002000	0.0844474 	0.002000	0.0844726 	0.002000	0.00664331	0.002000	0.00664331	0.002000	0.0015662 	0.002000	0.00246184	0.002000	0.00120253	
0.005000	0.244292  	0.005000	0.238078  	0.005000	0.191133  	0.005000	0.191133  	0.005000	0.191173  	0.005000	0.00783674	0.005000	0.00783674	0.005000	0.00550084	0.005000	0.00835354	0.005000	0.00437952	
0.008000	0.362881  	0.008000	0.352832  	0.008000	0.282314  	0.008000	0.282314  	0.008000	0.282361  	0.008000	0.00788615	0.008000	0.00788615	0.008000	0.0100397 	0.008000	0.014986  	0.008000	0.00812482	
0.010000	0.435037  	0.010000	0.422654  	0.010000	0.33783   	0.010000	0.33783   	0.010000	0.33788   	0.010000	0.00805973	0.010000	0.00805973	0.010000	0.0132446 	0.010000	0.0196133 	0.010000	0.0107956 	
0.015000	0.598442  	0.015000	0.580773  	0.015000	0.464024  	0.015000	0.464024  	0.015000	0.464078  	0.015000	0.0089548 	0.015000	0.0089548 	0.015000	0.0216119 	0.015000	0.0315625 	0.015000	0.0178294 	
0.020000	0.733737  	0.020000	0.711692  	0.020000	0.572464  	0.020000	0.572464  	0.020000	0.57252   	0.020000	0.0100088 	0.020000	0.0100088 	0.020000	0.0298424 	0.020000	0.0432234 	0.020000	0.0247897 	
0.025000	0.846233  	0.025000	0.820549  	0.025000	0.666338  	0.025000	0.666338  	0.025000	0.666396  	0.025000	0.0109448 	0.025000	0.0109448 	0.025000	0.037658  	0.025000	0.0542487 	0.025000	0.0314206 	
0.030000	0.942867  	0.030000	0.914057  	0.030000	0.749912  	0.030000	0.749912  	0.030000	0.749971  	0.030000	0.0117494 	0.030000	0.0117494 	0.030000	0.0451258 	0.030000	0.0647431 	0.030000	0.0377744 	
0.035000	1.02817   	0.035000	0.996605  	0.035000	0.82616   	0.035000	0.82616   	0.035000	0.826219  	0.035000	0.012452  	0.035000	0.012452  	0.035000	0.0523425 	0.035000	0.0748472 	0.035000	0.043931  	
0.040000	1.1051    	0.040000	1.07105   	0.040000	0.89671   	0.040000	0.89671   	0.040000	0.89677   	0.040000	0.013071  	0.040000	0.013071  	0.040000	0.0593487 	0.040000	0.0846254 	0.040000	0.0499219 	
0.045000	1.1757    	0.045000	1.13936   	0.045000	0.962745  	0.045000	0.962745  	0.045000	0.962805  	0.045000	0.0136233 	0.045000	0.0136233 	0.045000	0.0661851 	0.045000	0.0941385 	0.045000	0.05578   	
0.050000	1.24143   	0.050000	1.20296   	0.050000	1.02515   	0.050000	1.02515   	0.050000	1.02521   	0.050000	0.0141231 	0.050000	0.0140242 	0.050000	0.0728869 	0.050000	0.103438  	0.050000	0.0615339 	
0.055000	1.30344   	0.055000	1.26297   	0.055000	1.08459   	0.055000	1.08459   	0.055000	1.08465   	0.055000	0.0145812 	0.055000	0.0143351 	0.055000	0.0794851 	0.055000	0.11257   	0.055000	0.0672095 	
0.060000	1.36253   	0.060000	1.32015   	0.060000	1.14159   	0.060000	1.14159   	0.060000	1.14165   	0.060000	0.0150062 	0.060000	0.0146227 	0.060000	0.0860066 	0.060000	0.121573  	0.060000	0.0728291 	
0.070000	1.47416   	0.070000	1.42816   	0.070000	1.2499    	0.070000	1.2499    	0.070000	1.24996   	0.070000	0.015782  	0.070000	0.015147  	0.070000	0.0977574 	0.070000	0.137733  	0.070000	0.0829803 	
0.080000	1.57966   	0.080000	1.53025   	0.080000	1.35256   	0.080000	1.35256   	0.080000	1.35262   	0.080000	0.0164892 	0.080000	0.0156258 	0.080000	0.107115  	0.080000	0.150534  	0.080000	0.0910919 	
0.090000	1.68117   	0.090000	1.62848   	0.090000	1.45125   	0.090000	1.45125   	0.090000	1.45131   	0.090000	0.0171523 	0.090000	0.0160768 	0.090000	0.114976  	0.090000	0.161229  	0.090000	0.0979301 	
0.100000	1.78008   	0.100000	1.72419   	0.100000	1.54718   	0.100000	1.54718   	0.100000	1.54724   	0.100000	0.017788  	0.100000	0.0165116 	0.100000	0.121891  	0.100000	0.170588  	0.100000	0.103964  	
0.120000	1.97359   	0.120000	1.91144   	0.120000	1.73389   	0.120000	1.73389   	0.120000	1.73395   	0.120000	0.0190187 	0.120000	0.0173612 	0.120000	0.133856  	0.120000	0.18648   	0.120000	0.11445   	
0.140000	2.16465   	0.140000	2.09632   	0.140000	1.91714   	0.140000	1.91714   	0.140000	1.91721   	0.140000	0.0202375 	0.140000	0.0182135 	0.140000	0.144115  	0.140000	0.199783  	0.140000	0.123493  	
0.160000	2.35528   	0.160000	2.28078   	0.160000	2.09943   	0.160000	2.09943   	0.160000	2.09949   	0.160000	0.0214728 	0.160000	0.019088  	0.160000	0.153323  	0.160000	0.2116    	0.160000	0.13165   	
0.180000	2.54507   	0.180000	2.46443   	0.180000	2.28215   	0.180000	2.28215   	0.180000	2.28221   	0.180000	0.0227384 	0.180000	0.0199939 	0.180000	0.161937  	0.180000	0.22255   	0.180000	0.139311  	
