! 13C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0540787 	0.001000	0.0540787 	0.001000	0.0473053 	0.001000	0.0473053 	0.001000	0.0473029 	0.001000	0         	0.001000	0         	0.001000	0.000634653	0.001000	0.00103144	0.001000	0.000472925	
0.002000	0.109917  	0.002000	0.108157  	0.002000	0.0946107 	0.002000	0.0946107 	0.002000	0.0946059 	0.002000	0.00635005	0.002000	0.00635005	0.002000	0.00185853	0.002000	0.00291795	0.002000	0.0014424 	
0.005000	0.258081  	0.005000	0.251652  	0.005000	0.218967  	0.005000	0.218967  	0.005000	0.218959  	0.005000	0.00759384	0.005000	0.00759384	0.005000	0.00677366	0.005000	0.0102491 	0.005000	0.00545965	
0.008000	0.388502  	0.008000	0.377963  	0.008000	0.328185  	0.008000	0.328185  	0.008000	0.328175  	0.008000	0.00765192	0.008000	0.00765192	0.008000	0.0126509 	0.008000	0.0187976 	0.008000	0.010368  	
0.010000	0.468699  	0.010000	0.455632  	0.010000	0.395433  	0.010000	0.395433  	0.010000	0.395423  	0.010000	0.00785996	0.010000	0.00785996	0.010000	0.0168699 	0.010000	0.024859  	0.010000	0.0139263 	
0.015000	0.651809  	0.015000	0.632972  	0.015000	0.549595  	0.015000	0.549595  	0.015000	0.549584  	0.015000	0.00894423	0.015000	0.00894423	0.015000	0.028039  	0.015000	0.0407244 	0.015000	0.0234276 	
0.020000	0.804751  	0.020000	0.781094  	0.020000	0.682525  	0.020000	0.682525  	0.020000	0.682513  	0.020000	0.0102038 	0.020000	0.0102038 	0.020000	0.0391091 	0.020000	0.0563264 	0.020000	0.0328988 	
0.025000	0.932764  	0.025000	0.905073  	0.025000	0.797425  	0.025000	0.797425  	0.025000	0.797412  	0.025000	0.0112993 	0.025000	0.0112993 	0.025000	0.0496274 	0.025000	0.0710906 	0.025000	0.0419243 	
0.030000	1.04352   	0.030000	1.01234   	0.030000	0.899426  	0.030000	0.899426  	0.030000	0.899413  	0.030000	0.0122238 	0.030000	0.0122238 	0.030000	0.0596606 	0.030000	0.085124  	0.030000	0.0505555 	
0.035000	1.14182   	0.035000	1.10754   	0.035000	0.992179  	0.035000	0.992179  	0.035000	0.992166  	0.035000	0.0130182 	0.035000	0.0130182 	0.035000	0.0693297 	0.035000	0.0986021 	0.035000	0.0588937 	
