            ID                         MFD value             Atomic Hits Map value                        Difference              Diff (MFD - MUTEXED)     Diff (ATOM_HIT_MAP - MUTEXED)



Type = EnergyDeposit

             0                47235.486516593373                47235.486516593373                               0.0                               0.0                               0.0    
             1                59868.167859868088                59868.167859868088                               0.0                               0.0                               0.0    
             2               960447.831198002445               960447.831198002561                    1.16415322e-10                    1.16415322e-10                               0.0    
             4                68783.070382447127                68783.070382447127                               0.0                               0.0                               0.0    
             5               362428.999878707575               362428.999878707575                               0.0                               0.0                               0.0    
             6                59471.551498113789                59471.551498113789                               0.0                               0.0                               0.0    
             7               104796.242233710611               104796.242233710611                               0.0                               0.0                               0.0    
             8                44475.727409638901                44475.727409638901                               0.0                               0.0                               0.0    
             9               933412.079103322118               933412.079103322118                               0.0                               0.0                               0.0    
            10               334250.944655892730               334250.944655892730                               0.0                               0.0                               0.0    
            11                23226.382744311188                23226.382744311188                               0.0                               0.0                               0.0    
            12               143615.059973262862               143615.059973262862                               0.0                               0.0                               0.0    
            13               201336.838855052600               201336.838855052658                    5.82076609e-11                    5.82076609e-11                               0.0    
            14              1748381.972801776137              1748381.972801775904                    2.32830644e-10                    2.32830644e-10                               0.0    
            15               963906.371682969388               963906.371682969388                               0.0                               0.0                               0.0    
            16               267313.600871701783               267313.600871701783                               0.0                               0.0                               0.0    
            17               134492.738444222254               134492.738444222254                               0.0                               0.0                               0.0    
            18                21354.516131330547                21354.516131330547                               0.0                               0.0                               0.0    
            19               970955.349141440121               970955.349141440121                               0.0                               0.0                               0.0    
            20               622120.179330976098               622120.179330976214                    1.16415322e-10                    1.16415322e-10                               0.0    
            21               328801.926520487410               328801.926520487410                               0.0                               0.0                               0.0    
            22               226244.998160474584               226244.998160474584                               0.0                               0.0                               0.0    
            23               471667.489619562577               471667.489619562519                    5.82076609e-11                    5.82076609e-11                               0.0    
            24               219342.127623447013               219342.127623447013                               0.0                               0.0                               0.0    
            25              3803518.315032219980              3803518.315032220446                    4.65661287e-10                    4.65661287e-10                               0.0    
            26              1161208.415043436224              1161208.415043436224                               0.0                               0.0                               0.0    
            27              2442683.814556300174              2442683.814556299709                    4.65661287e-10                    4.65661287e-10                               0.0    
            28               260452.206179313711               260452.206179313711                               0.0                               0.0                               0.0    
            29               266190.811769281456               266190.811769281514                    5.82076609e-11                    5.82076609e-11                               0.0    
            30              3085222.505989117548              3085222.505989117548                               0.0                               0.0                               0.0    
            31              2434264.185698989779              2434264.185698989779                               0.0                               0.0                               0.0    
            32              4699731.081940233707              4699731.081940235570                    1.86264515e-09                    1.86264515e-09                               0.0    
            33              2394951.625269221142              2394951.625269221608                    4.65661287e-10                    4.65661287e-10                               0.0    
            34              1479085.381839532871              1479085.381839532871                               0.0                               0.0                               0.0    
            35              3262719.602354983333              3262719.602354983333                               0.0                               0.0                               0.0    
            36              4251589.326320922934              4251589.326320923865                    9.31322575e-10                    9.31322575e-10                               0.0    
            37              6202004.061247968115              6202004.061247969046                    9.31322575e-10                    9.31322575e-10                               0.0    
            38              2227683.504095995799              2227683.504095995799                               0.0                               0.0                               0.0    
            39              2663398.774822668638              2663398.774822668638                               0.0                               0.0                               0.0    
